Feature,Mean_Absolute_SHAP
case_type_str_cr cases,0.0
case_type_str_elec,0.0
case_type_str_elec.petn.,0.0
case_type_str_election appeal,0.0
case_type_str_ex a,0.0
case_type_str_ex civil,0.0
case_type_str_execution petition,0.0
case_type_str_f.c.o.p,0.0
case_type_str_fda,0.0
case_type_str_final decree,0.0
case_type_str_fr,0.0
case_type_str_g. r. cases(n),0.0
case_type_str_g.r,0.0
case_type_str_gr case,0.0
case_type_str_gr.pocso,0.0
case_type_str_hindu marriage act,0.0
case_type_str_ec-f,0.0
case_type_str_dvc,0.0
case_type_str_domestic violence act.,0.0
case_type_str_crl. case,0.0
case_type_str_cra,0.0
case_type_str_cri case,0.0
"case_type_str_cri. case, sadar",0.0
case_type_str_cri.case,0.0
case_type_str_criminal case,0.0
case_type_str_crl .misc.,0.0
case_type_str_crl.misc.,0.0
case_type_str_declarative suits,0.0
case_type_str_crl.r.p.,0.0
case_type_str_crl.t.,0.0
case_type_str_crlrp,0.0
case_type_str_cro,0.0
case_type_str_crra,0.0
case_type_str_cs dj,0.0
case_type_str_hindu marriage case,0.0
case_type_str_hma,0.0
case_type_str_hmp,0.0
case_type_str_misc crl case,0.0
case_type_str_maintenance 125 crpc etc,0.0
case_type_str_mcc ulp,0.0
case_type_str_mcop,0.0
case_type_str_mex,0.0
case_type_str_misc,0.0
case_type_str_misc civil case,0.0
case_type_str_misc judicial case,0.0
case_type_str_mact(injure,0.0
case_type_str_misc. appeal,0.0
case_type_str_misc. case,0.0
case_type_str_misc. cases,0.0
case_type_str_misc. execution case,0.0
case_type_str_misc.criminal cases,0.0
case_type_str_mjc gw,0.0
case_type_str_maintenance,0.0
case_type_str_mact claim case,0.0
case_type_str_idact of s10 1d,0.0
case_type_str_l.a.c.,0.0
case_type_str_indian penal code (ipc),0.0
case_type_str_injunction o-39  r1  2,0.0
case_type_str_jda appeal,0.0
case_type_str_judl (misc),0.0
case_type_str_l a  case.,0.0
case_type_str_l i r,0.0
case_type_str_l.r.dkst.,0.0
case_type_str_mact,0.0
case_type_str_lac(appl),0.0
case_type_str_m r case,0.0
case_type_str_m.c.,0.0
case_type_str_m.c.r,0.0
case_type_str_m.j.cases,0.0
case_type_str_m.v. act/ r.t.o. challan,0.0
case_type_str_cr en,0.0
case_type_str_cr,0.0
